records,throughput,memory_bytes,adds,modifies,cancels,trades,fills,add_p50_ns,add_p99_ns,add_p999_ns,modify_p50_ns,modify_p99_ns,modify_p999_ns,cancel_p50_ns,cancel_p99_ns,cancel_p999_ns,trade_p50_ns,trade_p99_ns,trade_p999_ns,fill_p50_ns,fill_p99_ns,fill_p999_ns
1000000,6479896,195279608,533065,0,438421,17349,11164,51,220,1633,0,0,0,80,321,561,20,41,51,50,190,401
2000000,6915070,195279608,467473,0,507111,16618,8798,50,130,270,0,0,0,80,260,471,20,40,41,60,190,260
3000000,6710999,195279608,471538,0,510084,11537,6841,60,121,241,0,0,0,90,210,401,30,41,50,60,230,421
4000000,6749661,195279608,467040,0,511183,13960,7817,50,131,311,0,0,0,80,230,451,30,40,50,70,231,391
5000000,7290257,195279608,469228,0,512661,11770,6341,50,130,270,0,0,0,70,190,441,30,41,50,50,251,561
6000000,7184068,195279608,468908,0,514109,11039,5944,50,140,401,0,0,0,70,200,471,30,50,50,60,270,390
7000000,6922134,195279608,467933,0,516147,10025,5895,50,150,391,0,0,0,71,220,471,30,50,50,60,251,410
8000000,6938796,195279608,474111,0,508978,11201,5710,50,170,410,0,0,0,80,270,541,30,50,60,51,280,731
9000000,6879859,195279608,468417,0,509424,14322,7837,60,140,330,0,0,0,80,230,511,30,50,60,60,331,481
10000000,6739612,195279608,465191,0,504436,19834,10539,60,150,381,0,0,0,81,231,511,30,41,60,60,341,381
11000000,6230010,195279608,487914,0,474364,25316,12406,60,190,481,0,0,0,91,441,681,30,41,51,70,391,551
12000000,6444506,195279608,451139,0,494630,36141,18090,60,200,441,0,0,0,80,351,591,21,40,41,70,411,671
13000000,6758482,195279608,463449,0,501004,21970,13577,60,250,461,0,0,0,70,360,611,20,40,50,60,421,551
14000000,6772585,195279608,464554,0,501669,21326,12451,60,231,461,0,0,0,70,300,572,20,40,50,60,280,641
15000000,5921824,195279608,469341,0,501106,18845,10708,60,271,471,0,0,0,80,531,781,20,50,50,60,351,481
16000000,6511349,195279608,464446,0,507084,18451,10019,60,241,461,0,0,0,80,371,611,20,40,50,60,401,591
17000000,6356904,195279608,466204,0,502995,19797,11004,60,251,471,0,0,0,80,360,602,20,40,60,60,431,651
18000000,6232626,195279608,486964,0,481447,19836,11753,60,301,581,0,0,0,80,391,611,20,40,60,60,431,701
19000000,6526440,195279608,460083,0,498610,24480,16827,60,221,451,0,0,0,80,340,561,20,40,50,70,351,521
20000000,6419574,195279608,464475,0,496969,23417,15139,60,231,461,0,0,0,90,380,591,20,40,50,70,431,622
21000000,6281132,195279608,463738,0,500143,22466,13653,60,250,491,0,0,0,90,371,621,20,40,50,70,451,701
22000000,5509165,195279608,444408,0,523604,20585,11403,70,321,541,0,0,0,100,541,821,30,41,60,70,391,711
23000000,5544305,195279608,492094,0,477059,18725,12122,71,371,591,0,0,0,100,451,692,30,50,70,60,431,561
24000000,5247254,195279608,498956,0,459509,25181,16354,80,351,601,0,0,0,110,531,782,30,50,60,80,521,751
25000000,3766896,195279608,701546,0,285571,7708,5175,131,481,2175,0,0,0,111,632,842,30,60,81,80,561,592
26000000,4116353,195279608,561030,0,424916,8473,5581,140,461,2305,0,0,0,130,661,882,30,60,60,91,762,891
27000000,3528489,195279608,697272,0,270163,21729,10836,130,481,2225,0,0,0,200,762,922,30,41,50,100,691,792
28000000,4420299,195279608,656341,0,301245,26501,15913,120,431,2175,0,0,0,131,752,901,20,40,50,110,581,782
29000000,5708018,195279608,660114,0,306188,20332,13366,30,331,501,0,0,0,120,691,882,20,40,50,110,551,761
30000000,6055510,195279608,615103,0,336046,29375,19476,30,321,491,0,0,0,120,622,882,20,40,50,110,571,701
31000000,7027845,195279608,658080,0,301205,25199,15516,30,240,461,0,0,0,120,581,881,20,31,40,110,521,721
32000000,6837611,195279608,670413,0,299785,18303,11499,30,251,481,0,0,0,120,611,832,20,40,50,110,521,752
33000000,6944347,195279608,692860,0,284621,14040,8479,20,251,471,0,0,0,120,631,852,20,40,50,110,541,681
34000000,6593446,195279608,665260,0,313249,13438,8053,20,280,471,0,0,0,120,621,842,20,40,50,91,521,761
35000000,4512665,195279608,435168,0,524161,25318,15353,130,411,541,0,0,0,120,651,871,20,41,51,91,501,611
36000000,4549927,195279608,422332,0,532049,27453,18166,121,411,511,0,0,0,120,641,852,20,40,50,100,551,691
37000000,4691304,195279608,426726,0,517966,32897,22411,121,411,521,0,0,0,120,631,861,20,40,50,100,491,682
38000000,5143868,195279608,468243,0,480784,31187,19786,120,401,521,0,0,0,110,581,841,20,40,50,100,531,631
39000000,5103739,195279608,471687,0,483481,27432,17400,120,410,521,0,0,0,111,581,822,20,40,50,100,551,711
40000000,5132564,195279608,470651,0,482086,28252,19011,120,391,501,0,0,0,110,571,802,20,40,50,101,501,681
41000000,5265595,195279608,471782,0,484233,26851,17134,120,391,491,0,0,0,110,561,831,20,40,50,100,541,722
42000000,5308571,195279608,470435,0,485341,26736,17488,110,371,511,0,0,0,110,571,832,20,40,50,100,461,681
43000000,5191568,195279608,469642,0,481576,29005,19777,120,390,501,0,0,0,111,571,822,20,40,50,100,541,721
44000000,5145951,195279608,460698,0,494675,26778,17849,120,380,490,0,0,0,111,581,831,20,40,50,110,531,822
45000000,5156003,195279608,453959,0,500571,27004,18466,120,391,501,0,0,0,110,591,851,20,40,50,100,511,771
46000000,5069827,195279608,458040,0,498759,25764,17437,120,390,531,0,0,0,111,581,862,20,40,50,110,541,802
47000000,5197483,195279608,462181,0,495449,25253,17117,120,390,501,0,0,0,111,581,812,20,40,50,110,571,742
48000000,5258540,195279608,466793,0,487261,27074,18872,111,391,501,0,0,0,111,571,822,20,40,50,100,481,752
49000000,5200943,195279608,470663,0,484847,26733,17757,120,381,501,0,0,0,111,561,812,20,40,50,101,531,791
50000000,5113834,195279608,478886,0,479925,24218,16971,120,400,541,0,0,0,111,581,831,20,40,50,110,531,641
51000000,5195628,195279608,476752,0,486385,21971,14892,120,391,511,0,0,0,111,571,801,20,40,60,100,531,732
52000000,5229387,195279608,475644,0,488043,21676,14637,120,380,491,0,0,0,111,561,821,20,41,60,100,531,691
53000000,5306153,195279608,474339,0,486251,22835,16575,110,360,491,0,0,0,110,561,811,20,41,51,110,631,842
54000000,5288063,195279608,475303,0,485439,23259,15999,120,391,501,0,0,0,111,561,811,20,40,50,100,531,862
55000000,5180545,195279608,473997,0,488037,22433,15533,120,391,491,0,0,0,111,562,821,20,41,60,110,561,722
56000000,5280318,195279608,476142,0,487973,21552,14333,120,381,491,0,0,0,110,561,832,20,50,60,100,471,611
57000000,5412845,195279608,477174,0,488773,20656,13397,110,360,481,0,0,0,110,551,801,20,40,50,100,551,761
58000000,5331172,195279608,478789,0,487282,20196,13733,110,371,521,0,0,0,111,571,821,20,50,50,110,561,751
59000000,5349924,195279608,476013,0,489380,20570,14037,110,371,491,0,0,0,111,552,831,20,40,60,110,501,791
60000000,5446831,195279608,478273,0,489482,19185,13060,80,361,490,0,0,0,110,551,792,20,41,50,110,521,591
61000000,5438257,195279608,477501,0,489435,19857,13207,80,351,501,0,0,0,110,551,791,20,40,51,110,602,742
62000000,5450377,195279608,476752,0,488134,21101,14013,100,370,531,0,0,0,110,541,792,20,40,50,101,521,621
63000000,5487147,195279608,466760,0,486669,26788,19783,90,361,490,0,0,0,110,551,782,20,40,50,110,541,722
64000000,5465416,195279608,475117,0,488864,21314,14705,80,361,501,0,0,0,110,551,792,20,40,50,110,471,621
65000000,5389202,195279608,477714,0,488836,20173,13277,110,381,511,0,0,0,110,551,821,20,41,51,110,541,672
66000000,5402837,195279608,475954,0,488470,21180,14396,110,371,501,0,0,0,110,551,801,20,41,61,110,541,652
67000000,5340077,195279608,475035,0,487918,21832,15215,120,401,521,0,0,0,110,561,821,20,40,60,110,581,712
68000000,5405076,195279608,474833,0,488336,21589,15242,110,371,501,0,0,0,110,551,812,20,40,50,110,562,862
69000000,5473253,195279608,475774,0,487944,21408,14874,80,371,501,0,0,0,110,561,812,20,41,51,101,521,761
70000000,5356527,195279608,472054,0,486799,24077,17070,110,371,511,0,0,0,111,551,792,20,40,50,110,531,862
71000000,5374504,195279608,473538,0,484700,24514,17248,110,371,501,0,0,0,110,551,821,20,40,50,110,551,691
72000000,5327213,195279608,478564,0,490213,18502,12721,80,351,501,0,0,0,111,561,842,20,40,50,110,471,671
73000000,5459061,195279608,477559,0,492541,17842,12058,80,361,491,0,0,0,110,551,821,20,41,50,110,571,751
74000000,5355572,195279608,476975,0,490082,19462,13481,110,381,511,0,0,0,111,541,772,20,41,50,101,561,611
75000000,5396300,195279608,477023,0,489722,19954,13301,110,361,491,0,0,0,110,551,811,20,40,50,110,581,732
76000000,5458772,195279608,479259,0,489351,18841,12549,110,381,491,0,0,0,110,541,781,20,40,51,110,541,812
77000000,5365907,195279608,474019,0,489236,21281,15464,110,390,491,0,0,0,111,551,802,20,40,60,110,601,932
78000000,5457664,195279608,474930,0,487848,21716,15506,80,361,491,0,0,0,110,551,791,20,40,50,110,471,621
79000000,5414137,195279608,474028,0,488762,21990,15220,90,370,491,0,0,0,110,551,832,20,40,41,110,531,681
80000000,5426066,195279608,474034,0,489316,21463,15187,81,361,520,0,0,0,110,551,782,20,40,50,110,541,671
81000000,5434721,195279608,477470,0,490223,19184,13123,80,351,511,0,0,0,110,551,802,20,41,50,110,481,712
82000000,5449970,195279608,478135,0,491149,18055,12661,80,370,501,0,0,0,110,551,791,20,40,50,110,541,822
83000000,5377926,195279608,477744,0,489924,19471,12861,80,371,511,0,0,0,111,561,811,20,40,50,110,481,711
84000000,5471104,195279608,479404,0,491142,17583,11871,81,371,501,0,0,0,111,541,771,20,40,50,110,481,712
85000000,5420064,195279608,475977,0,488228,21246,14549,81,361,501,0,0,0,111,551,792,20,40,50,110,511,571
86000000,5533711,195279608,470926,0,488440,23566,17068,70,370,511,0,0,0,110,541,792,20,40,50,110,541,712
87000000,5621245,195279608,476643,0,489509,20230,13618,70,371,511,0,0,0,110,531,772,20,40,50,100,531,661
88000000,5508588,195279608,476517,0,488432,20744,14307,100,371,501,0,0,0,110,551,802,20,40,50,101,541,772
89000000,5378094,195279608,475750,0,488776,21264,14210,110,361,501,0,0,0,110,551,821,20,40,50,101,511,621
90000000,5372245,195279608,475442,0,488644,21505,14409,120,381,501,0,0,0,110,541,821,20,40,51,110,561,702
91000000,5420732,195279608,475597,0,490228,20213,13962,110,371,491,0,0,0,110,551,801,20,40,51,110,551,811
92000000,5528731,195279608,476813,0,488935,20400,13852,80,361,491,0,0,0,110,541,801,20,41,60,101,501,581
93000000,5513156,195279608,476425,0,489362,20402,13811,90,380,501,0,0,0,110,551,781,20,41,51,101,501,4379
94000000,5557769,195279608,473174,0,486306,24330,16190,80,361,491,0,0,0,110,541,801,20,40,50,110,551,842
95000000,5207340,195279608,479382,0,490311,18054,12253,110,390,501,0,0,0,120,572,842,30,40,50,110,511,611
96000000,5440649,195279608,477078,0,486532,21766,14624,100,380,511,0,0,0,110,541,791,20,50,60,100,541,651
97000000,5519177,195279608,477624,0,487774,20667,13935,100,380,501,0,0,0,110,541,781,20,40,50,100,521,581
98000000,5476399,195279608,475906,0,488270,21198,14626,110,370,511,0,0,0,110,551,781,20,41,51,110,541,731
99000000,5449032,195279608,472351,0,487576,23281,16792,80,361,501,0,0,0,110,551,822,20,40,60,110,591,761
100000000,5458537,195279608,474256,0,490223,20745,14776,70,361,491,0,0,0,110,571,821,20,40,51,110,471,621
101000000,5478466,195279608,475990,0,490684,19857,13469,80,361,511,0,0,0,110,551,802,20,40,51,101,531,621
102000000,5474706,195279608,476310,0,492278,18613,12799,80,371,501,0,0,0,111,551,801,20,41,51,110,531,692
103000000,5538286,195279608,474371,0,490661,20433,14535,80,351,511,0,0,0,110,541,782,20,41,60,110,541,731
